iter	RMSE
0	2003.682177
1	1571.054017
2	1342.145903
3	1212.706696
4	1147.629727
5	1118.008673
6	1101.645452
7	1097.953572
8	1091.088176
9	1088.576247
10	1086.175236
11	1085.21095
12	1083.482824
13	1082.858664
14	1082.844378
15	1081.680241
16	1081.368028
17	1079.41642
18	1077.666683
19	1077.180454
20	1077.157889
21	1077.157877
22	1077.122426
23	1076.414465
24	1075.882319
25	1073.199989
26	1072.537886
27	1070.819609
28	1068.965395
29	1067.088713
30	1066.768151
31	1065.272886
32	1063.434801
33	1061.654318
34	1060.764991
35	1057.557417
36	1057.407306
37	1057.005291
38	1056.230793
39	1056.230461
40	1055.998066
41	1055.777665
42	1055.759978
43	1054.5764
44	1054.369735
45	1052.865323
46	1052.495377
47	1052.396477
48	1050.081329
49	1049.709697
