iter	Passed	Remaining
0	565	1694887
1	685	1026974
2	740	739968
3	837	626974
4	920	551082
5	978	488177
6	1079	461631
7	1161	434409
8	1233	409899
9	1412	422306
10	1468	398932
11	1540	383555
12	1604	368661
13	1666	355438
14	1710	340400
15	1819	339405
16	2090	366852
17	2244	371912
18	2327	365241
19	2409	358992
20	2469	350307
21	2710	366961
22	2831	366470
23	2933	363708
24	2997	356686
25	3054	349337
26	3113	342882
27	3173	336891
28	3235	331512
29	3299	326618
30	3356	321500
31	3420	317272
32	3510	315605
33	3576	311989
34	3692	312773
35	3772	310626
36	3839	307473
37	3964	309024
38	4018	305068
39	4109	304075
40	4191	302485
41	4298	302748
42	4498	309371
43	4552	305867
44	4611	302828
45	4713	302680
46	4782	300470
47	4843	297861
48	4993	300727
49	5061	298657
